parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,no need compute team member perm,message,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,timestamp,unknown
11,13,11,11,0,0,34,0,24,0,10,0,0,1,1,1,0,34,10,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:16:00,0
10,10,10,10,0,0,32,0,24,0,8,0,0,2,2,0,0,32,8,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:18:00,4
14,16,14,14,0,0,38,0,24,0,14,0,0,0,0,0,0,38,14,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:20:00,4
6,6,6,6,0,0,30,0,24,0,6,0,0,0,0,0,0,30,6,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:22:00,0
10,10,10,10,0,0,34,0,24,0,10,0,0,0,0,0,0,34,10,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:24:00,4
16,18,16,16,0,0,40,0,24,0,16,0,0,0,0,0,0,40,16,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:26:00,0
9,9,9,9,0,0,33,0,24,0,9,0,0,0,0,0,0,33,9,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:28:00,0
6,8,6,6,0,0,30,0,24,0,6,0,0,0,0,0,0,30,6,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:30:00,0
11,11,11,11,0,0,35,0,24,0,11,0,0,0,0,0,0,35,11,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:32:00,7
7,7,7,7,0,0,31,0,24,0,7,0,0,0,0,0,0,31,7,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:34:00,0
14,16,14,14,0,0,37,0,24,0,13,0,0,1,1,0,0,37,13,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:36:00,6
11,11,11,11,0,0,35,0,24,0,11,0,0,0,0,0,0,35,11,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:38:00,0
4,6,4,4,0,0,28,0,24,0,4,0,0,0,0,0,0,28,4,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:40:00,0
4,4,4,4,0,0,29,0,25,0,4,0,0,0,0,0,0,29,4,25,25,1,0,1,1,1,0,2,2,2,2023-11-30 19:42:00,1
6,6,6,6,0,0,30,0,24,0,6,0,0,0,0,0,0,30,6,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:44:00,0
23,25,23,23,0,0,97,0,25,0,72,0,0,2,2,0,0,97,21,25,25,1,0,1,0,0,0,2,2,2,2023-11-30 19:46:00,56
19,19,19,19,0,0,46,0,28,0,18,0,0,1,1,0,0,46,18,28,28,4,0,4,4,4,4,2,2,2,2023-11-30 19:48:00,2
8,8,8,8,0,0,32,0,24,0,8,0,0,0,0,0,0,32,8,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:50:00,0
16,18,16,16,0,0,40,0,25,0,15,0,0,1,1,0,0,40,15,25,25,1,0,1,1,1,1,2,2,2,2023-11-30 19:52:00,2
13,13,13,13,0,0,36,0,24,0,12,0,0,1,1,0,0,36,12,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:54:00,2
19,21,19,19,0,0,42,0,24,0,18,0,0,1,1,0,0,42,18,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:56:00,2
13,13,13,13,0,0,36,0,24,0,12,0,0,1,1,0,0,36,12,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:58:00,2
13,13,13,13,0,0,36,0,24,0,12,0,0,1,0,0,0,36,12,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:00:00,2
15,17,15,15,0,0,39,0,24,0,15,0,0,0,0,0,0,39,15,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:02:00,3
12,12,12,12,0,0,35,0,24,0,11,0,0,1,1,0,0,35,11,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:04:00,4
8,10,8,8,0,0,31,0,24,0,7,0,0,1,1,0,0,31,7,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:06:00,2
8,8,8,8,0,0,33,0,26,0,7,0,0,1,1,0,0,33,7,26,26,1,0,0,0,0,0,2,2,2,2023-11-30 20:08:00,5
2,2,2,2,0,0,26,0,24,0,2,0,0,0,0,0,0,26,2,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:10:00,0
19,22,19,19,0,0,43,0,24,0,19,0,0,0,0,0,0,43,19,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:12:00,0
12,12,12,12,0,0,35,0,24,0,11,0,0,1,0,0,0,35,11,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:14:00,10
11,11,11,11,0,0,34,0,24,0,10,0,0,1,1,0,0,34,10,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:16:00,9
12,14,12,12,0,0,35,0,24,0,11,0,0,1,1,0,0,35,11,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:18:00,2
7,7,7,7,0,0,31,0,24,0,7,0,0,0,0,0,0,31,7,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:20:00,0
14,16,14,14,0,0,36,0,24,0,12,0,0,2,1,0,0,36,12,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:22:00,4
8,8,8,8,0,0,31,0,24,0,7,0,0,1,1,0,0,31,7,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:24:00,2
16,16,16,16,0,0,39,0,24,0,15,0,0,1,0,0,0,39,15,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:26:00,9
9,11,9,9,0,0,35,0,26,0,9,0,0,0,0,0,0,35,9,26,26,1,0,0,0,0,0,2,2,2,2023-11-30 20:28:00,3
11,11,11,11,0,0,35,0,24,0,11,0,0,0,0,0,0,35,11,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:30:00,0
5,7,5,5,0,0,29,0,24,0,5,0,0,0,0,0,0,29,5,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:32:00,0
9,9,9,9,0,0,38,0,29,0,9,0,0,0,0,0,0,38,9,29,29,5,0,5,5,5,5,2,2,2,2023-11-30 20:34:00,0
11,11,11,11,0,0,34,0,24,0,10,0,0,1,1,0,0,34,10,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:36:00,2
11,13,11,11,0,0,35,0,24,0,11,0,0,0,0,0,0,35,11,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:38:00,0
3,3,3,3,0,0,27,0,24,0,3,0,0,0,0,0,0,27,3,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:40:00,0
7,9,7,7,0,0,30,0,23,0,7,0,0,0,0,0,0,30,7,23,23,0,0,0,0,0,0,2,2,2,2023-11-30 20:42:00,0
10,10,10,10,0,0,34,0,24,0,10,0,0,0,0,0,0,34,10,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:44:00,0
9,9,9,9,0,0,84,0,25,0,59,0,0,1,1,0,0,84,8,25,25,1,0,1,0,0,0,2,2,2,2023-11-30 20:46:00,54
14,16,14,14,0,0,37,0,24,0,13,0,0,1,0,0,0,37,13,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:48:00,2
5,6,5,5,0,0,28,0,24,0,4,0,0,1,1,0,0,28,4,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:50:00,2
5,6,5,5,0,0,28,0,24,0,4,0,0,1,0,0,0,28,4,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:52:00,6
5,7,5,5,0,0,29,0,24,0,5,0,0,0,0,0,0,29,5,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 20:54:00,0
17,17,17,17,0,0,41,0,25,0,16,0,0,1,1,0,0,41,16,25,25,0,0,0,0,0,0,2,2,2,2023-11-30 20:56:00,2
